,Date,output
290,2021-02-20,0
291,2021-02-22,1
292,2021-02-23,0
293,2021-02-26,1
294,2021-02-27,1
295,2021-03-02,1
296,2021-03-04,1
297,2021-03-05,1
298,2021-03-07,1
299,2021-03-08,0
300,2021-03-11,1
301,2021-03-12,1
302,2021-03-13,0
303,2021-03-14,1
304,2021-03-15,2
305,2021-03-16,2
306,2021-03-17,0
307,2021-03-18,2
308,2021-03-19,0
309,2021-03-20,1
310,2021-03-23,1
311,2021-03-24,1
312,2021-03-25,0
313,2021-03-26,0
314,2021-03-28,1
315,2021-03-29,1
316,2021-03-31,2
317,2021-04-01,0
318,2021-04-03,1
319,2021-04-04,1
320,2021-04-05,1
321,2021-04-07,1
322,2021-04-08,2
323,2021-04-10,1
324,2021-04-13,1
325,2021-04-16,0
326,2021-04-17,0
327,2021-04-19,1
328,2021-04-20,0
329,2021-04-22,1
330,2021-04-26,1
331,2021-04-28,1
332,2021-04-29,2
333,2021-05-01,0
334,2021-05-02,0
335,2021-05-03,1
336,2021-05-04,0
337,2021-05-06,2
338,2021-05-07,1
339,2021-05-10,1
340,2021-05-11,0
341,2021-05-12,1
342,2021-05-13,1
343,2021-05-15,0
344,2021-05-16,1
345,2021-05-17,1
346,2021-05-18,2
347,2021-05-20,1
348,2021-05-23,1
349,2021-05-25,0
350,2021-05-27,1
351,2021-05-29,2
352,2021-05-30,1
353,2021-06-02,1
354,2021-06-03,2
355,2021-06-05,1
356,2021-06-06,1
357,2021-06-07,1
358,2021-06-08,1
359,2021-06-15,0
360,2021-06-16,2
361,2021-06-17,1
362,2021-06-19,0
363,2021-06-20,1
364,2021-06-21,1
365,2021-06-22,0
366,2021-06-24,1
367,2021-06-26,1
368,2021-06-29,1
369,2021-06-30,1
370,2021-07-01,1
371,2021-07-02,0
372,2021-07-06,1
373,2021-07-07,2
374,2021-07-15,2
375,2021-07-17,1
376,2021-07-18,1
377,2021-07-19,1
378,2021-07-25,1
379,2021-07-27,2
380,2021-07-31,2
381,2021-08-01,1
382,2021-08-02,1
383,2021-08-04,2
384,2021-08-05,2
385,2021-08-07,1
386,2021-08-08,1
387,2021-08-10,0
388,2021-08-12,1
389,2021-08-13,1
390,2021-08-14,1
391,2021-08-16,2
392,2021-08-19,0
393,2021-08-20,1
394,2021-08-21,0
395,2021-08-25,1
396,2021-08-26,2
397,2021-08-27,2
398,2021-08-28,2
399,2021-08-29,1
400,2021-08-31,2
401,2021-09-01,2
402,2021-09-03,1
403,2021-09-04,2
404,2021-09-05,1
405,2021-09-10,1
406,2021-09-11,1
407,2021-09-13,1
408,2021-09-15,1
409,2021-09-16,1
410,2021-09-17,2
411,2021-09-18,1
412,2021-09-20,1
413,2021-09-21,1
414,2021-09-22,2
415,2021-09-23,1
416,2021-09-24,2
417,2021-09-25,2
418,2021-09-28,1
419,2021-09-29,1
420,2021-10-01,1
421,2021-10-04,1
422,2021-10-07,0
423,2021-10-08,2
424,2021-10-09,2
425,2021-10-10,1
426,2021-10-11,1
427,2021-10-12,1
428,2021-10-13,2
429,2021-10-14,1
430,2021-10-15,2
431,2021-10-16,1
432,2021-10-19,2
433,2021-10-20,2
434,2021-10-21,1
435,2021-10-24,1
436,2021-10-25,2
437,2021-10-26,2
438,2021-10-29,0
439,2021-11-01,1
440,2021-11-02,2
441,2021-11-03,1
442,2021-11-04,2
443,2021-11-05,2
444,2021-11-10,1
445,2021-11-11,2
446,2021-11-13,0
447,2021-11-16,1
448,2021-11-17,1
449,2021-11-18,0
450,2021-11-20,1
451,2021-11-22,2
452,2021-11-23,1
453,2021-11-24,2
454,2021-11-25,1
455,2021-11-27,0
456,2021-11-28,1
457,2021-11-30,1
458,2021-12-01,1
459,2021-12-02,2
460,2021-12-03,2
461,2021-12-05,1
462,2021-12-06,1
463,2021-12-07,0
464,2021-12-08,2
465,2021-12-09,2
466,2021-12-14,1
467,2021-12-15,2
468,2021-12-16,1
469,2021-12-18,1
470,2021-12-21,0
471,2021-12-22,2
472,2021-12-23,1
473,2021-12-27,0
474,2021-12-28,1
475,2021-12-29,1
476,2021-12-30,1
477,2022-01-01,2
478,2022-01-03,1
479,2022-01-04,2
480,2022-01-05,2
481,2022-01-06,1
482,2022-01-07,0
483,2022-01-08,2
484,2022-01-09,1
485,2022-01-10,1
486,2022-01-12,1
487,2022-01-13,2
488,2022-01-14,1
489,2022-01-15,1
490,2022-01-16,1
491,2022-01-17,1
492,2022-01-18,2
493,2022-01-19,1
494,2022-01-20,2
495,2022-01-21,0
496,2022-01-22,1
497,2022-01-23,1
498,2022-01-24,1
499,2022-01-25,1
500,2022-01-26,2
501,2022-01-27,2
502,2022-01-28,2
503,2022-01-29,0
504,2022-01-30,1
505,2022-02-01,1
506,2022-02-02,1
507,2022-02-03,1
508,2022-02-04,2
509,2022-02-05,1
510,2022-02-06,1
511,2022-02-08,1
512,2022-02-11,1
513,2022-02-12,1
514,2022-02-13,1
515,2022-02-14,0
516,2022-02-15,1
517,2022-02-16,2
518,2022-02-17,0
519,2022-02-18,1
520,2022-02-19,1
521,2022-02-20,1
522,2022-02-21,1
523,2022-02-23,1
524,2022-02-24,1
525,2022-02-25,1
526,2022-02-26,2
527,2022-02-27,1
528,2022-02-28,1
529,2022-03-01,1
530,2022-03-02,0
531,2022-03-03,1
532,2022-03-04,0
533,2022-03-05,0
534,2022-03-06,0
535,2022-03-07,1
536,2022-03-08,0
537,2022-03-09,0
538,2022-03-10,2
539,2022-03-11,2
540,2022-03-12,2
541,2022-03-14,1
542,2022-03-15,2
543,2022-03-16,1
544,2022-03-17,2
545,2022-03-18,2
546,2022-03-19,1
547,2022-03-20,1
548,2022-03-21,1
549,2022-03-23,2
550,2022-03-24,1
551,2022-03-26,1
552,2022-03-27,2
553,2022-03-28,1
554,2022-03-29,2
555,2022-03-31,0
556,2022-04-01,2
557,2022-04-02,1
558,2022-04-04,1
559,2022-04-05,1
560,2022-04-06,1
561,2022-04-07,2
562,2022-04-08,1
563,2022-04-09,2
564,2022-04-12,1
565,2022-04-14,0
566,2022-04-15,1
567,2022-04-16,1
568,2022-04-18,2
569,2022-04-19,0
570,2022-04-20,1
571,2022-04-22,2
572,2022-04-23,0
573,2022-04-25,0
574,2022-04-26,1
575,2022-04-28,1
576,2022-04-29,1
577,2022-04-30,0
578,2022-05-03,1
579,2022-05-04,2
580,2022-05-05,0
581,2022-05-06,1
582,2022-05-07,0
583,2022-05-08,1
584,2022-05-09,1
585,2022-05-10,0
586,2022-05-12,2
587,2022-05-13,0
588,2022-05-14,2
589,2022-05-15,1
590,2022-05-16,0
591,2022-05-17,1
592,2022-05-18,2
593,2022-05-19,1
594,2022-05-20,1
595,2022-05-21,1
596,2022-05-23,1
597,2022-05-24,0
598,2022-05-25,1
599,2022-05-26,0
600,2022-05-27,1
601,2022-05-28,1
602,2022-05-29,1
603,2022-05-30,1
604,2022-05-31,1
605,2022-06-02,1
606,2022-06-03,1
607,2022-06-04,1
608,2022-06-05,1
609,2022-06-06,1
610,2022-06-07,1
611,2022-06-08,1
612,2022-06-09,0
613,2022-06-10,0
614,2022-06-11,0
615,2022-06-12,1
616,2022-06-15,0
617,2022-06-16,1
618,2022-06-20,1
619,2022-06-21,0
620,2022-06-22,2
621,2022-06-23,1
622,2022-06-24,0
623,2022-06-27,1
624,2022-06-28,1
625,2022-07-01,0
626,2022-07-02,1
627,2022-07-04,1
628,2022-07-06,1
629,2022-07-07,2
630,2022-07-08,1
631,2022-07-10,2
632,2022-07-12,1
633,2022-07-13,1
634,2022-07-18,2
635,2022-07-19,2
636,2022-07-20,1
637,2022-07-22,1
638,2022-07-23,2
639,2022-07-28,1
640,2022-07-29,2
641,2022-07-30,2
642,2022-08-03,1
643,2022-08-04,2
644,2022-08-05,1
645,2022-08-07,1
646,2022-08-08,1
647,2022-08-10,2
648,2022-08-11,1
649,2022-08-12,2
650,2022-08-13,2
651,2022-08-15,1
652,2022-08-16,2
653,2022-08-17,2
654,2022-08-18,1
655,2022-08-20,2
656,2022-08-23,2
657,2022-08-24,0
658,2022-08-25,1
659,2022-08-26,1
660,2022-08-28,1
661,2022-08-29,0
662,2022-08-30,0
663,2022-08-31,1
